seed,R,C,M,train acc,test acc,epsilon,evaluations
58321.0,1.0,10.0,100.0,0.983,,1.0160744272991709,84358.0
58321.0,4.0,10.0,100.0,0.992,,0.3367315304252463,78750.0
58321.0,8.0,10.0,100.0,0.992,,0.1321208350557711,73245.0
58321.0,64.0,10.0,100.0,0.993,,0.1121857734439458,68534.0
58321.0,256.0,10.0,100.0,0.993,,0.0270686745238474,69735.0
58321.0,512.0,10.0,100.0,0.993,,0.0129988921706067,69924.0
58321.0,1024.0,10.0,100.0,0.993,,0.0183565699523967,70760.0
58321.0,2048.0,10.0,100.0,0.993,,0.0197516954508759,70061.0
58321.0,4096.0,10.0,100.0,0.993,,0.009102892848294,70209.0
60066.0,1.0,10.0,100.0,0.985,,0.8942536654637185,82926.0
60066.0,4.0,10.0,100.0,0.99,,0.3461898000240951,79023.0
60066.0,8.0,10.0,100.0,0.992,,0.1741361137741073,73216.0
60066.0,64.0,10.0,100.0,0.992,,0.1199679031063709,67867.0
60066.0,256.0,10.0,100.0,0.992,,0.0287032300874522,69308.0
60066.0,512.0,10.0,100.0,0.992,,0.0194260319696958,70642.0
60066.0,1024.0,10.0,100.0,0.992,,0.0121231319736095,69063.0
60066.0,2048.0,10.0,100.0,0.992,,0.0201244857483777,69063.0
60066.0,4096.0,10.0,100.0,0.992,,0.0052149889177194,69105.0
98728.0,1.0,10.0,100.0,0.981,,1.0140834034231037,86141.0
98728.0,4.0,10.0,100.0,0.992,,0.3001374908295142,82371.0
98728.0,8.0,10.0,100.0,0.992,,0.1192463154804631,74150.0
98728.0,64.0,10.0,100.0,0.992,,0.1113588150244492,68465.0
98728.0,256.0,10.0,100.0,0.992,,0.0280415834262213,67894.0
98728.0,512.0,10.0,100.0,0.993,,0.0237432225504088,67985.0
98728.0,1024.0,10.0,100.0,0.993,,0.0095321613120412,69648.0
98728.0,2048.0,10.0,100.0,0.992,,0.0205407582714621,68916.0
98728.0,4096.0,10.0,100.0,0.992,,0.0118316512856271,70306.0
78336.0,1.0,10.0,100.0,0.985,,1.093076837826643,85506.0
78336.0,4.0,10.0,100.0,0.992,,0.3584882322520854,76932.0
78336.0,8.0,10.0,100.0,0.992,,0.1576115858276749,75218.0
78336.0,64.0,10.0,100.0,0.993,,0.0986478793136435,66545.0
78336.0,256.0,10.0,100.0,0.993,,0.0244090702757174,69996.0
78336.0,512.0,10.0,100.0,0.993,,0.0191252629277104,68809.0
78336.0,1024.0,10.0,100.0,0.993,,0.0074307718944775,70633.0
78336.0,2048.0,10.0,100.0,0.993,,0.0100530263857014,69107.0
78336.0,4096.0,10.0,100.0,0.993,,0.01,70443.0
6516.0,1.0,10.0,100.0,0.981,,1.066567424715616,87310.0
6516.0,4.0,10.0,100.0,0.991,,0.3611193330921544,81084.0
6516.0,8.0,10.0,100.0,0.992,,0.1663848787202877,72488.0
6516.0,64.0,10.0,100.0,0.992,,0.1156138396558911,69232.0
6516.0,256.0,10.0,100.0,0.992,,0.0333132526146533,70424.0
6516.0,512.0,10.0,100.0,0.992,,0.0195765720540166,69956.0
6516.0,1024.0,10.0,100.0,0.992,,0.0151221011214948,70349.0
6516.0,2048.0,10.0,100.0,0.992,,0.0202771013118411,72348.0
6516.0,4096.0,10.0,100.0,0.992,,0.0091464031858253,71404.0
25077.0,1.0,10.0,100.0,0.982,,1.010939651906177,84989.0
25077.0,4.0,10.0,100.0,0.99,,0.3806922940744747,79069.0
